URL,Discount,Rating,Brand,Item,MRP,Reviews
sarees/anouk/anouk-floral-embroidered-organza-saree/24151234/buy,Rs. 1649,4,Anouk,Embroidered Organza Saree,Rs. 6599,1.2k
sarees/mitera/mitera-colorblocked-gotta-patti-border-pure-georgette-saree/27157680/buy,Rs. 1099,4.2,Mitera,Gotta Patti Georgette Saree,Rs. 6873,320
sarees/anouk/anouk-white--rose-gold-embellished-sequinned-pure-georgette-saree/26426732/buy,Rs. 1429,3.9,Anouk,Pure Georgette Saree,Rs. 6499,520
sarees/all+about+you/all-about-you-embroidered-satin-saree/29809022/buy,Rs. 1427,4.5,all about you,Satin Saree,Rs. 5099,1.1k
sarees/mabish+by+sonal+jain/mabish-by-sonal-jain-magenta-ruffled-ready-to-wear-saree/19691570/buy,Rs. 1805,4,MABISH by Sonal Jain,Ready to Wear Saree,Rs. 4299,1.7k
sarees/sangria/sangria-red--green-woven-design-zari-poly-georgette-bandhani-saree/23366162/buy,Rs. 999,3.9,Sangria,Bandhani Poly Georgette Saree,Rs. 4999,808
sarees/inddus/inddus-embroidered-saree/25273142/buy,Rs. 1814,4.1,Inddus,Embroidered Saree,Rs. 5499,118
sarees/tikhi+imli/tikhi-imli-black--gold-geometric-printed-ready-to-wear-saree/25311788/buy,Rs. 1799,4.2,Tikhi Imli,Ready To Wear Saree,Rs. 3598,174
sarees/mitera/mitera-purple-woven-design-kanjeevaram-silk-saree/17905608/buy,Rs. 1349,4.3,Mitera,Woven Design Kanjeevaram Saree,Rs. 5399,7.2k
sarees/inddus/inddus-navy-blue-embroidered-woven-design-organza-saree/28877956/buy,Rs. 1814,4.5,Inddus,Embroidered Organza Saree,Rs. 5499,14
sarees/sangria/sangria-yellow--red-bandhani-saree/23366160/buy,Rs. 1249,3.9,Sangria,Bandhani Saree,Rs. 4999,812
sarees/kalista/kalista-embellished-beads--stones-detailed-satin-saree/26304982/buy,Rs. 1902,3.9,Kalista,Embellished Satin Saree,Rs. 15857,160
sarees/leelipeeri+designer/leelipeeri-designer-embroidered-heavy-work-saree-with-blouse-piece/30020701/buy,Rs. 2199,,LeeliPeeri Designer,Embroidered Heavy Work Saree,Rs. 9999,
sarees/kalini/kalini-ethnic-motifs-woven-design-zari-leheriya-saree/28049132/buy,Rs. 1099,3.8,KALINI,Ethnic Motifs Leheriya Saree,Rs. 4396,60
sarees/inddus/inddus-embroidered-detailed-net-saree/24533088/buy,Rs. 1979,4.2,Inddus,Embroidered Detailed Net Saree,Rs. 6599,1.9k
sarees/mitera/mitera-batik-abstract-printed-cotton-zari-saree/27078396/buy,Rs. 899,3.6,Mitera,Batik Printed Cotton Saree,Rs. 8999,96
sarees/suta/suta-blue-green-colourblocked-cotton-blend-saree/15243952/buy,,4.6,Suta,Women Colourblocked Saree,,3.1k
sarees/anouk/anouk-black-embellished-sequinned-pure-georgette-saree/26426754/buy,Rs. 1299,3.9,Anouk,Embellished Saree,Rs. 5999,530
sarees/mitera/mitera-woven-design-zari-silk-blend-banarasi-saree/22339352/buy,Rs. 1589,4.3,Mitera,Woven Design Banarasi Silk Blend Saree,Rs. 6899,1k
sarees/koskii/koskii-embellished-stones-work-poly-crepe-saree-with-blouse-piece/22937996/buy,Rs. 5841,4.2,Koskii,Embellished Poly Crepe Saree,Rs. 6490,102
sarees/mitera/mitera-pink--golden-floral-zari-organza-kanjeevaram-saree/19779876/buy,Rs. 1223,4.3,Mitera,Floral Kanjeevaram Saree,Rs. 6795,3.4k
sarees/mitera/mitera-navy-blue--pink-floral-zari-silk-blend-banarasi-saree/18302894/buy,Rs. 1859,4.2,Mitera,Floral Banarasi Silk Blend Saree,Rs. 10899,6.4k
sarees/koskii/koskii-floral-printed-gotta-patti-satin-saree/23991002/buy,Rs. 3592,4.2,Koskii,Printed Satin Saree,Rs. 4490,45
sarees/anouk/anouk-ethnic-motifs-woven-design-patola-saree/22278568/buy,Rs. 1479,4.3,Anouk,Woven Design Patola Saree,Rs. 5899,5.3k
sarees/saree+mall/saree-mall-black-floral-linen-blend-banarasi-saree/16287682/buy,Rs. 989,4.2,Saree mall,Floral Banarasi Linen Blend Saree,Rs. 4099,8.7k
sarees/house+of+pataudi/house-of-pataudi-mustard-yellow--red-floral-zari-silk-blend-banarasi-saree/17091902/buy,Rs. 3499,4.1,House of Pataudi,Floral Zari Banarasi Saree,Rs. 6999,179
sarees/patlani+style/patlani-style-floral-embroidered-ready-to-wear-saree-pure-georgette-lehenga-saree/26881202/buy,Rs. 3499,4,PATLANI STYLE,Floral Pure Georgette Saree,Rs. 9999,61
sarees/sangria/sangria-floral-printed-satin-saree/29299034/buy,Rs. 1319,4.2,Sangria,Floral Printed Satin Saree,Rs. 6999,30
sarees/kalini/kalini-woven-design-zari-silk-blend-paithani-saree/29521464/buy,Rs. 872,3.1,KALINI,Paithani Silk Blend Saree,Rs. 5450,17
sarees/kalini/kalini-zari-banarasi-saree/23066426/buy,Rs. 759,3.7,KALINI,Zari Banarasi Saree,Rs. 3299,8.7k
sarees/vishnu+weaves/vishnu-weaves-floral-zari-banarasi-saree/29172214/buy,Rs. 1931,4.2,VISHNU WEAVES,Floral Banarasi Saree,Rs. 4598,9
sarees/kalini/kalini-floral-printed-zari-saree/27651164/buy,Rs. 749,3.5,KALINI,Floral Printed Zari Saree,Rs. 3746,48
sarees/divastri/divastri-floral-printed-satin-saree/23170124/buy,Rs. 993,3.8,DIVASTRI,Floral Printed Satin Saree,Rs. 7099,1k
sarees/anouk/anouk-red--yellow-floral-printed--embroidered-border-pure-georgette-saree/24392650/buy,Rs. 1159,3.4,Anouk,Printed Pure Georgette Saree,Rs. 4799,1.7k
