URL,Discount,Rating,Brand,Item,MRP,Reviews
dresses/pspeaches/pspeaches-magenta--white-floral-a-line-cotton-dress-with-attached-shrug/17045988/buy,Rs. 980,4.2,pspeaches,Floral A-Line Cotton Dress,Rs. 2800,5.3k
dresses/high+star/high-star-v-neck-puff-sleeve-fit--flare-midi-dress/22995594/buy,Rs. 1191,4.3,High Star,Fit & Flare Midi Puff Sleeve Dress,Rs. 2249,933
dresses/forever+new/forever-new-puff-sleeve-fit--flare-midi-dress/29669396/buy,,4.5,Forever New,Fit & Flare Midi Dress,,11
dresses/antheaa/antheaa-choker-neck-chiffon-fit--flare-midi-dress/27373894/buy,Rs. 1439,4.3,Antheaa,Chiffon Choker Neck Dress,Rs. 3199,281
dresses/zolo+label/zolo-label-floral-embroidered-mandarin-collar-puffed-sleeves-cotton-sheath-mini-dress/27521196/buy,Rs. 1484,4.5,Zolo Label,Embroidered Sheath Mini Dress,Rs. 2699,69
dresses/trendyol/trendyol-v-neck-front-slit-sheath-midi-dress/24506718/buy,Rs. 2319,4,Trendyol,Sheath Midi Dress,Rs. 2899,167
dresses/stylum/stylum-cream-coloured--black-bohemian-print-flared-sleeve-fit--flare-dress/22555284/buy,Rs. 699,3.9,Stylum,Bohemian Print Fit & Flare Flared Sleeve Dress,Rs. 2199,815
dresses/sassafras/sassafras-blue-cut-out-denim-sheath-dress/22944848/buy,Rs. 1011,4.4,SASSAFRAS,Denim Sheath Dress,Rs. 2199,1.2k
ethnic-dresses/anayna/anayna-attractive-red-floral-all-in-the-details-dress/17724444/buy,Rs. 1217,4.2,anayna,Floral All in the Details Dress,Rs. 3690,702
dresses/janasya/janasya-cotton-woven-design-tiered-dress/18659986/buy,Rs. 949,4.1,Janasya,Woven Design Tiered Dress,Rs. 1899,5.5k
dresses/berrylush/berrylush-women-floral-bustier-dress/17190848/buy,Rs. 1079,3.9,Berrylush,Floral Bustier Dress,Rs. 1799,2.9k
dresses/mango/mango-colourblocked-bodycon-dress/30001031/buy,Rs. 4311,,MANGO,Colourblocked Bodycon Dress,Rs. 4790,
